Location,Asset,Description,Make ,Processor/Core,Model,Graphics Card,Aquired Date,Use,Obsolete,Number of computers in room ,Department,Building
Barnes G11,150840,All in One,Apple,n/a,n/a,,n/a,Data Analytics Lab,not specified,,Biology ,Barnes
Barnes G11,150709,n/a,Pegasus,n/a,QUL044030231,,n/a,Data Analytics Lab,not specified,,Biology ,Barnes
Barnes G11,150045,Precision Tower,Dell ,T3600,6L2MSW1,,N/A,Data Analytics Lab,not specified,,Biology ,Barnes
Barnes G11,150046,Precision Tower,Dell ,T3600,6L2NSW1,,N/A,Data Analytics Lab,not specified,,Biology ,Barnes
Price Hall 201b,Computer,Dell All in ones,Dell,,,,,Classroom,No,21 (including one out of service),CST,Price
Price Hall 201b,Computer,Lenovo desktop,Lenovo,,Optiplex 3040,,,Podium desktop,Yes,1,CST,Price
Price Hall 202,Computer,Lenovo desktop,Lenovo,,,,,Podium desktop,Yes,1,CST,Price
Price Hall 204,Computer,Dell All in ones,Dell,,,,,Classroom,No,21,CST,Price
Smith Hall 4008,Computer,Lenovo desktop,Lenovo,,Thinkcentres,,,Classroom,Yes,14,CST,Smith
Smith Hall 4008,Computer,Dell desktop,Dell,,Optiplex 755,,,Podium desktop,Yes,1,CST,Smith
Smith Hall 4001,Computer,Dell All in ones,Dell,,,,,Classroom,No,35,CST,Smith
Smith Hall 4001,Computer,Dell All in ones,Dell,,,,,Podium desktop,No,1,CST,Smith
Smith Hall 4016,Computer,Thin clients ,Dell,,,,,Classroom,No,30,CST,Smith
Smith Hall 4016,Computer,Dell desktop,Dell,,,,,Podium desktop,No,1,CST,Smith
